,Date,High,Low,Close,Volume,VolumeT,Gaus
325,2016-06-03,20.9,20.7,20.7,17,6379,20.826047424299258
326,2016-06-06,21.0,21.0,21.0,1,187,20.80211916921491
327,2016-06-07,21.0,20.7,21.0,8,1415,20.774213951518004
328,2016-06-09,21.1,20.6,20.7,18,8374,20.742483766971272
329,2016-06-10,21.1,20.8,20.8,5,1311,20.707043538812947
330,2016-06-13,21.0,20.5,20.5,20,40160,20.668109221715838
331,2016-06-14,21.0,20.5,20.6,9,5221,20.625832065685323
332,2016-06-15,21.1,21.0,21.1,12,1549,20.580423217986088
333,2016-06-16,21.0,20.1,20.4,11,7032,20.531995571749007
334,2016-06-17,20.5,20.3,20.4,8,5000,20.480551073897377
335,2016-06-20,20.3,20.3,20.3,1,500,20.425961591500474
336,2016-06-21,22.2,20.3,20.4,7,950,20.367898208789427
337,2016-06-22,21.0,20.4,20.4,6,515,20.305916101410105
338,2016-06-24,20.5,20.0,20.1,26,10900,20.239539436207345
339,2016-06-27,20.9,20.3,20.4,4,920,20.168330546045155
340,2016-06-28,21.0,20.5,20.6,11,1107,20.09200743058717
341,2016-06-29,20.6,20.0,20.0,11,4856,20.010517119746602
342,2016-06-30,20.6,19.6,20.1,12,32797,19.924037924473993
343,2016-07-01,19.6,19.0,19.6,13,20014,19.832939864951847
344,2016-07-04,19.6,19.6,19.6,5,1801,19.737746954361516
345,2016-07-05,19.5,19.2,19.2,6,5700,19.63915780176385
346,2016-07-07,20.0,20.0,20.0,8,7601,19.538061201759636
347,2016-07-08,20.0,19.3,20.0,6,5512,19.435643593468022
348,2016-07-11,19.3,19.2,19.2,2,1930,19.33347714700467
349,2016-07-12,19.2,17.7,19.1,10,3098,19.23349536954037
350,2016-07-13,19.2,19.2,19.1,1,9,19.137986159653146
351,2016-07-14,19.8,19.0,19.2,14,4901,19.049420353453357
352,2016-07-18,18.6,18.5,18.5,6,1079,18.97020593358594
353,2016-07-20,18.9,18.5,18.5,10,7610,18.902443530373645
354,2016-07-21,18.4,18.4,18.5,1,8,18.84765007515336
355,2016-07-22,19.0,18.4,18.5,17,11691,18.80667509014454
356,2016-07-25,19.0,18.5,18.6,8,7553,18.779656444924452
